# Unicode characters and corresponding LaTeX math mode commands
# *************************************************************
#
# :Copyright: © 2011 Günter Milde
# :Date:      Last revised 2011-11-08
# :Licence:   This work may be distributed and/or modified under the
#             conditions of the `LaTeX Project Public License`_,
#             either version 1.3 of this license or (at your option)
#             any later version.
#
# .. _LaTeX Project Public License: http://www.latex-project.org/lppl.txt
#
# This is a mapping of mathematical Unicode characters to corresponding
# (La)TeX commands.
#
# While the contents of this file represent the best information
# available to the author as of the date referenced above, it
# contains omissions and maybe errors. It is likely that the
# information in this file will change from time to time.
#
# The character encoding of the file is UTF-8.
#
# Each data record consists of 8 fields. Fields are delimited by “
# Spaces adjacent to the delimiter are not significant. The number and
# type of fields in this file may change in future versions.
#
# 1. code point (Unicode character number)
#
#    The code point field is unique.
#
# 2. literal character (UTF-8 encoded)
#
# 3. (La)TeX _`command`
#
#    Preferred representation of the character in TeX.
#    Alternative commands are listed in the comments_ field.
#
# 4. command used by the `unicode-math`_ package
#
#    .. _unicode-math:
#       http://mirror.ctan.org/help/Catalogue/entries/unicode-math.html
#
# 5. Unicode math character class (after MathClassEx_).
#
#    .. _MathClassEx:
#       http://www.unicode.org/Public/math/revision-11/MathClassEx-11.txt
#
#    The class can be one of:
#
#    :N: Normal- includes all digits and symbols requiring only one form
#    :A: Alphabetic
#    :B: Binary
#    :C: Closing – usually paired with opening delimiter
#    :D: Diacritic
#    :F: Fence - unpaired delimiter (often used as opening or closing)
#    :G: Glyph_Part- piece of large operator
#    :L: Large -n-ary or Large operator, often takes limits
#    :O: Opening – usually paired with closing delimiter
#    :P: Punctuation
#    :R: Relation- includes arrows
#    :S: Space
#    :U: Unary – operators that are only unary
#    :V: Vary – operators that can be unary or binary depending on context
#    :X: Special –characters not covered by other classes
#
#    C, O, and F operators are stretchy. In addition some binary
#    operators, such as 002F are stretchy as noted in the descriptive
#    comments. The classes are also useful in determining extra spacing
#    around the operators as discussed in UTR#25.
#
# 6. TeX math category (after unimath-symbols_)
#
#    .. _unimath-symbols:
#       http://mirror.ctan.org/macros/latex/contrib/unicode-math/unimath-symbols.pdf
#
# 7. requirements and conflicts
#
#    Space delimited list of LaTeX packages or features [1]_ providing
#    the LaTeX command_ or conflicting with it.
#
#    Packages/features preceded by a HYPHEN-MINUS (-) use the command
#    for a different symbol.
#
#    To save space, packages providing/modifying (almost) all commands
#    of a feature or another package are not listed here but in the
#    ``packages.txt`` file.
#
#    .. [1] A feature can be a set of commands common to several packages,
#    	    (e.g. ``mathbb`` or ``slantedGreek``) or a constraint (e.g.
#	    ``literal`` mapping plain characters to upright face).
#
# 8. descriptive _`comments`
#
#    The descriptive comments provide more information about the
#    character, or its specific appearance or use.
#
#    Some descriptions contain references to related commands,
#    marked by a character describing the relation
#
#    :=:  equals  (alias commands),
#    :#:  approx  (similar, different character with same glyph),
#    :x:  not     (false friends and name clashes),
#    :t:  text    (text mode command),
#
#    followed by requirements in parantheses, and
#    delimited by commas.
#
#    Comments in UPPERCASE are Unicode character names
#
unicode-math;# no.
Longmapsfrom;027FD
Longmapsto;027FE
longrightsquigarrow;027FF
nvtwoheadrightarrow;02900
nVtwoheadrightarrow;02901
nvLeftarrow;02902
nvRightarrow;02903
nvLeftrightarrow;02904
twoheadmapsto;02905
Mapsfrom;02906
Mapsto;02907
downarrowbarred;02908
uparrowbarred;02909
Uuparrow;0290A
Ddownarrow;0290B
leftbkarrow;0290C
rightbkarrow;0290D
leftdbkarrow;0290E
dbkarow;0290F
drbkarow;02910
rightdotarrow;02911
baruparrow;02912
downarrowbar;02913
nvrightarrowtail;02914
nVrightarrowtail;02915
twoheadrightarrowtail;02916
nvtwoheadrightarrowtail;02917
nVtwoheadrightarrowtail;02918
lefttail;02919
righttail;0291A
leftdbltail;0291B
rightdbltail;0291C
diamondleftarrow;0291D
rightarrowdiamond;0291E
diamondleftarrowbar;0291F
barrightarrowdiamond;02920
nwsearrow;02921
neswarrow;02922
hknwarrow;02923
hknearrow;02924
hksearow;02925
hkswarow;02926
tona;02927
toea;02928
tosa;02929
towa;0292A
rdiagovfdiag;0292B
fdiagovrdiag;0292C
seovnearrow;0292D
neovsearrow;0292E
fdiagovnearrow;0292F
rdiagovsearrow;02930
neovnwarrow;02931
nwovnearrow;02932
rightcurvedarrow;02933
uprightcurvearrow;02934
downrightcurvedarrow;02935
leftdowncurvedarrow;02936
rightdowncurvedarrow;02937
cwrightarcarrow;02938
acwleftarcarrow;02939
acwoverarcarrow;0293A
acwunderarcarrow;0293B
curvearrowrightminus;0293C
curvearrowleftplus;0293D
cwundercurvearrow;0293E
ccwundercurvearrow;0293F
acwcirclearrow;02940
cwcirclearrow;02941
rightarrowshortleftarrow;02942
leftarrowshortrightarrow;02943
shortrightarrowleftarrow;02944
rightarrowplus;02945
leftarrowplus;02946
rightarrowx;02947
leftrightarrowcircle;02948
twoheaduparrowcircle;02949
leftrightharpoonupdown;0294A
leftrightharpoondownup;0294B
updownharpoonrightleft;0294C
updownharpoonleftright;0294D
leftrightharpoonupup;0294E
updownharpoonrightright;0294F
leftrightharpoondowndown;02950
updownharpoonleftleft;02951
barleftharpoonup;02952
rightharpoonupbar;02953
barupharpoonright;02954
downharpoonrightbar;02955
barleftharpoondown;02956
rightharpoondownbar;02957
barupharpoonleft;02958
downharpoonleftbar;02959
leftharpoonupbar;0295A
barrightharpoonup;0295B
upharpoonrightbar;0295C
bardownharpoonright;0295D
leftharpoondownbar;0295E
barrightharpoondown;0295F
upharpoonleftbar;02960
bardownharpoonleft;02961
leftharpoonsupdown;02962
upharpoonsleftright;02963
rightharpoonsupdown;02964
downharpoonsleftright;02965
leftrightharpoonsup;02966
leftrightharpoonsdown;02967
rightleftharpoonsup;02968
rightleftharpoonsdown;02969
leftharpoonupdash;0296A
dashleftharpoondown;0296B
rightharpoonupdash;0296C
dashrightharpoondown;0296D
updownharpoonsleftright;0296E
downupharpoonsleftright;0296F
rightimply;02970
equalrightarrow;02971
similarrightarrow;02972
leftarrowsimilar;02973
rightarrowsimilar;02974
rightarrowapprox;02975
ltlarr;02976
leftarrowless;02977
gtrarr;02978
subrarr;02979
leftarrowsubset;0297A
suplarr;0297B
leftfishtail;0297C
rightfishtail;0297D
upfishtail;0297E
downfishtail;0297F
Vvert;02980
mdsmblkcircle;02981
typecolon;02982
lBrace;02983
rBrace;02984
lParen;02985
rParen;02986
llparenthesis;02987
rrparenthesis;02988
llangle;02989
rrangle;0298A
lbrackubar;0298B
rbrackubar;0298C
lbrackultick;0298D
rbracklrtick;0298E
lbracklltick;0298F
rbrackurtick;02990
langledot;02991
rangledot;02992
lparenless;02993
rparengtr;02994
Lparengtr;02995
Rparenless;02996
lblkbrbrak;02997
rblkbrbrak;02998
fourvdots;02999
vzigzag;0299A
measuredangleleft;0299B
rightanglesqr;0299C
rightanglemdot;0299D
angles;0299E
angdnr;0299F
gtlpar;029A0
sphericalangleup;029A1
turnangle;029A2
revangle;029A3
angleubar;029A4
revangleubar;029A5
wideangledown;029A6
wideangleup;029A7
measanglerutone;029A8
measanglelutonw;029A9
measanglerdtose;029AA
measangleldtosw;029AB
measangleurtone;029AC
measangleultonw;029AD
measangledrtose;029AE
measangledltosw;029AF
revemptyset;029B0
emptysetobar;029B1
emptysetocirc;029B2
emptysetoarr;029B3
emptysetoarrl;029B4
circlehbar;029B5
circledvert;029B6
circledparallel;029B7
obslash;029B8
operp;029B9
obot;029BA
olcross;029BB
odotslashdot;029BC
uparrowoncircle;029BD
circledwhitebullet;029BE
circledbullet;029BF
olessthan;029C0
ogreaterthan;029C1
cirscir;029C2
cirE;029C3
boxdiag;029C4
boxbslash;029C5
boxast;029C6
boxcircle;029C7
boxbox;029C8
boxonbox;029C9
triangleodot;029CA
triangleubar;029CB
triangles;029CC
triangleserifs;029CD
rtriltri;029CE
ltrivb;029CF
vbrtri;029D0
lfbowtie;029D1
rfbowtie;029D2
fbowtie;029D3
lftimes;029D4
rftimes;029D5
hourglass;029D6
blackhourglass;029D7
lvzigzag;029D8
rvzigzag;029D9
Lvzigzag;029DA
Rvzigzag;029DB
iinfin;029DC
tieinfty;029DD
nvinfty;029DE
dualmap;029DF
laplac;029E0
lrtriangleeq;029E1
shuffle;029E2
eparsl;029E3
smeparsl;029E4
eqvparsl;029E5
gleichstark;029E6
thermod;029E7
downtriangleleftblack;029E8
downtrianglerightblack;029E9
blackdiamonddownarrow;029EA
mdlgblklozenge;029EB
circledownarrow;029EC
blackcircledownarrow;029ED
errbarsquare;029EE
errbarblacksquare;029EF
errbardiamond;029F0
errbarblackdiamond;029F1
errbarcircle;029F2
errbarblackcircle;029F3
ruledelayed;029F4
setminus;029F5
dsol;029F6
rsolbar;029F7
xsol;029F8
xbsol;029F9
doubleplus;029FA
tripleplus;029FB
lcurvyangle;029FC
rcurvyangle;029FD
tplus;029FE
tminus;029FF
bigodot;02A00
bigoplus;02A01
bigotimes;02A02
bigcupdot;02A03
biguplus;02A04
bigsqcap;02A05
bigsqcup;02A06
conjquant;02A07
disjquant;02A08
bigtimes;02A09
modtwosum;02A0A
sumint;02A0B
iiiint;02A0C
intbar;02A0D
intBar;02A0E
fint;02A0F
cirfnint;02A10
awint;02A11
rppolint;02A12
scpolint;02A13
npolint;02A14
pointint;02A15
sqint;02A16
intlarhk;02A17
intx;02A18
intcap;02A19
intcup;02A1A
upint;02A1B
lowint;02A1C
Join;02A1D
bigtriangleleft;02A1E
zcmp;02A1F
zpipe;02A20
zproject;02A21
ringplus;02A22
plushat;02A23
simplus;02A24
plusdot;02A25
plussim;02A26
plussubtwo;02A27
plustrif;02A28
commaminus;02A29
minusdot;02A2A
minusfdots;02A2B
minusrdots;02A2C
opluslhrim;02A2D
oplusrhrim;02A2E
vectimes;02A2F
dottimes;02A30
timesbar;02A31
btimes;02A32
smashtimes;02A33
otimeslhrim;02A34
otimesrhrim;02A35
otimeshat;02A36
Otimes;02A37
odiv;02A38
triangleplus;02A39
triangleminus;02A3A
triangletimes;02A3B
intprod;02A3C
intprodr;02A3D
fcmp;02A3E
amalg;02A3F
capdot;02A40
uminus;02A41
barcup;02A42
barcap;02A43
capwedge;02A44
cupvee;02A45
cupovercap;02A46
capovercup;02A47
cupbarcap;02A48
capbarcup;02A49
twocups;02A4A
twocaps;02A4B
closedvarcup;02A4C
closedvarcap;02A4D
Sqcap;02A4E
Sqcup;02A4F
closedvarcupsmashprod;02A50
wedgeodot;02A51
veeodot;02A52
Wedge;02A53
Vee;02A54
wedgeonwedge;02A55
veeonvee;02A56
bigslopedvee;02A57
bigslopedwedge;02A58
veeonwedge;02A59
wedgemidvert;02A5A
veemidvert;02A5B
midbarwedge;02A5C
midbarvee;02A5D
doublebarwedge;02A5E
wedgebar;02A5F
wedgedoublebar;02A60
varveebar;02A61
doublebarvee;02A62
veedoublebar;02A63
dsub;02A64
rsub;02A65
eqdot;02A66
dotequiv;02A67
equivVert;02A68
equivVvert;02A69
dotsim;02A6A
simrdots;02A6B
simminussim;02A6C
congdot;02A6D
asteq;02A6E
hatapprox;02A6F
approxeqq;02A70
eqqplus;02A71
pluseqq;02A72
eqqsim;02A73
Coloneq;02A74
eqeq;02A75
eqeqeq;02A76
ddotseq;02A77
equivDD;02A78
ltcir;02A79
gtcir;02A7A
ltquest;02A7B
gtquest;02A7C
leqslant;02A7D
geqslant;02A7E
lesdot;02A7F
gesdot;02A80
lesdoto;02A81
gesdoto;02A82
lesdotor;02A83
gesdotol;02A84
lessapprox;02A85
gtrapprox;02A86
lneq;02A87
gneq;02A88
lnapprox;02A89
gnapprox;02A8A
lesseqqgtr;02A8B
gtreqqless;02A8C
lsime;02A8D
gsime;02A8E
lsimg;02A8F
gsiml;02A90
lgE;02A91
glE;02A92
lesges;02A93
gesles;02A94
eqslantless;02A95
eqslantgtr;02A96
elsdot;02A97
egsdot;02A98
eqqless;02A99
eqqgtr;02A9A
eqqslantless;02A9B
eqqslantgtr;02A9C
simless;02A9D
simgtr;02A9E
simlE;02A9F
simgE;02AA0
Lt;02AA1
Gt;02AA2
partialmeetcontraction;02AA3
glj;02AA4
gla;02AA5
ltcc;02AA6
gtcc;02AA7
lescc;02AA8
gescc;02AA9
smt;02AAA
lat;02AAB
smte;02AAC
late;02AAD
bumpeqq;02AAE
preceq;02AAF
succeq;02AB0
precneq;02AB1
succneq;02AB2
preceqq;02AB3
succeqq;02AB4
precneqq;02AB5
succneqq;02AB6
precapprox;02AB7
succapprox;02AB8
precnapprox;02AB9
succnapprox;02ABA
Prec;02ABB
Succ;02ABC
subsetdot;02ABD
supsetdot;02ABE
subsetplus;02ABF
supsetplus;02AC0
submult;02AC1
supmult;02AC2
subedot;02AC3
supedot;02AC4
subseteqq;02AC5
supseteqq;02AC6
subsim;02AC7
supsim;02AC8
subsetapprox;02AC9
supsetapprox;02ACA
subsetneqq;02ACB
supsetneqq;02ACC
lsqhook;02ACD
rsqhook;02ACE
csub;02ACF
csup;02AD0
csube;02AD1
csupe;02AD2
subsup;02AD3
supsub;02AD4
subsub;02AD5
supsup;02AD6
suphsub;02AD7
supdsub;02AD8
forkv;02AD9
topfork;02ADA
mlcp;02ADB
forks;02ADC
forksnot;02ADD
shortlefttack;02ADE
shortdowntack;02ADF
shortuptack;02AE0
perps;02AE1
vDdash;02AE2
dashV;02AE3
Dashv;02AE4
DashV;02AE5
varVdash;02AE6
Barv;02AE7
vBar;02AE8
vBarv;02AE9
barV;02AEA
Vbar;02AEB
Not;02AEC
bNot;02AED
revnmid;02AEE
cirmid;02AEF
midcir;02AF0
topcir;02AF1
nhpar;02AF2
parsim;02AF3
interleave;02AF4
nhVvert;02AF5
threedotcolon;02AF6
lllnest;02AF7
gggnest;02AF8
leqqslant;02AF9
geqqslant;02AFA
trslash;02AFB
biginterleave;02AFC
sslash;02AFD
talloblong;02AFE
bigtalloblong;02AFF
;02B00
;02B01
;02B02
;02B03
;02B04
;02B05
;02B06
;02B07
;02B08
;02B09
;02B0A
;02B0B
;02B0C
;02B0D
;02B0E
;02B0F
;02B10
;02B11
squaretopblack;02B12
squarebotblack;02B13
squareurblack;02B14
squarellblack;02B15
diamondleftblack;02B16
diamondrightblack;02B17
diamondtopblack;02B18
diamondbotblack;02B19
dottedsquare;02B1A
lgblksquare;02B1B
lgwhtsquare;02B1C
vysmblksquare;02B1D
vysmwhtsquare;02B1E
pentagonblack;02B1F
pentagon;02B20
varhexagon;02B21
varhexagonblack;02B22
hexagonblack;02B23
lgblkcircle;02B24
mdblkdiamond;02B25
mdwhtdiamond;02B26
mdblklozenge;02B27
mdwhtlozenge;02B28
smblkdiamond;02B29
smblklozenge;02B2A
smwhtlozenge;02B2B
blkhorzoval;02B2C
whthorzoval;02B2D
blkvertoval;02B2E
whtvertoval;02B2F
circleonleftarrow;02B30
leftthreearrows;02B31
leftarrowonoplus;02B32
longleftsquigarrow;02B33
nvtwoheadleftarrow;02B34
nVtwoheadleftarrow;02B35
twoheadmapsfrom;02B36
twoheadleftdbkarrow;02B37
leftdotarrow;02B38
nvleftarrowtail;02B39
nVleftarrowtail;02B3A
twoheadleftarrowtail;02B3B
nvtwoheadleftarrowtail;02B3C
nVtwoheadleftarrowtail;02B3D
leftarrowx;02B3E
leftcurvedarrow;02B3F
equalleftarrow;02B40
bsimilarleftarrow;02B41
leftarrowbackapprox;02B42
rightarrowgtr;02B43
rightarrowsupset;02B44
LLeftarrow;02B45
RRightarrow;02B46
bsimilarrightarrow;02B47
rightarrowbackapprox;02B48
similarleftarrow;02B49
leftarrowapprox;02B4A
leftarrowbsimilar;02B4B
rightarrowbsimilar;02B4C
medwhitestar;02B50
medblackstar;02B51
smwhitestar;02B52
rightpentagonblack;02B53
rightpentagon;02B54
;03008
;03009
postalmark;03012
lbrbrak;03014
rbrbrak;03015
Lbrbrak;03018
Rbrbrak;03019
;0301A
;0301B
hzigzag;03030
;0306E
;0FB29
;0FE00
;0FE61
;0FE62
;0FE63
;0FE64
;0FE65
;0FE66
;0FE68
;0FF0B
;0FF1C
;0FF1D
;0FF1E
;0FF3C
;0FF3E
;0FF5C
;0FF5E
;0FFE2
;0FFE9
;0FFEA
;0FFEB
;0FFEC
mbfA;1D400
mbfB;1D401
mbfC;1D402
mbfD;1D403
mbfE;1D404
mbfF;1D405
mbfG;1D406
mbfH;1D407
mbfI;1D408
mbfJ;1D409
mbfK;1D40A
mbfL;1D40B
mbfM;1D40C
mbfN;1D40D
mbfO;1D40E
mbfP;1D40F
mbfQ;1D410
mbfR;1D411
mbfS;1D412
mbfT;1D413
mbfU;1D414
mbfV;1D415
mbfW;1D416
mbfX;1D417
mbfY;1D418
mbfZ;1D419
mbfa;1D41A
mbfb;1D41B
mbfc;1D41C
mbfd;1D41D
mbfe;1D41E
mbff;1D41F
mbfg;1D420
mbfh;1D421
mbfi;1D422
mbfj;1D423
mbfk;1D424
mbfl;1D425
mbfm;1D426
mbfn;1D427
mbfo;1D428
mbfp;1D429
mbfq;1D42A
mbfr;1D42B
mbfs;1D42C
mbft;1D42D
mbfu;1D42E
mbfv;1D42F
mbfw;1D430
mbfx;1D431
mbfy;1D432
mbfz;1D433
mitA;1D434
mitB;1D435
mitC;1D436
mitD;1D437
mitE;1D438
mitF;1D439
mitG;1D43A
mitH;1D43B
mitI;1D43C
mitJ;1D43D
mitK;1D43E
mitL;1D43F
mitM;1D440
mitN;1D441
mitO;1D442
mitP;1D443
mitQ;1D444
mitR;1D445
mitS;1D446
mitT;1D447
mitU;1D448
mitV;1D449
mitW;1D44A
mitX;1D44B
mitY;1D44C
mitZ;1D44D
mita;1D44E
mitb;1D44F
mitc;1D450
mitd;1D451
mite;1D452
mitf;1D453
mitg;1D454
miti;1D456
mitj;1D457
mitk;1D458
mitl;1D459
mitm;1D45A
mitn;1D45B
mito;1D45C
mitp;1D45D
mitq;1D45E
mitr;1D45F
mits;1D460
mitt;1D461
mitu;1D462
mitv;1D463
mitw;1D464
mitx;1D465
mity;1D466
mitz;1D467
mbfitA;1D468
mbfitB;1D469
mbfitC;1D46A
mbfitD;1D46B
mbfitE;1D46C
mbfitF;1D46D
mbfitG;1D46E
mbfitH;1D46F
mbfitI;1D470
mbfitJ;1D471
mbfitK;1D472
mbfitL;1D473
mbfitM;1D474
mbfitN;1D475
mbfitO;1D476
mbfitP;1D477
mbfitQ;1D478
mbfitR;1D479
mbfitS;1D47A
mbfitT;1D47B
mbfitU;1D47C
mbfitV;1D47D
mbfitW;1D47E
mbfitX;1D47F
mbfitY;1D480
mbfitZ;1D481
mbfita;1D482
mbfitb;1D483
mbfitc;1D484
mbfitd;1D485
mbfite;1D486
mbfitf;1D487
mbfitg;1D488
mbfith;1D489
mbfiti;1D48A
mbfitj;1D48B
mbfitk;1D48C
mbfitl;1D48D
mbfitm;1D48E
mbfitn;1D48F
mbfito;1D490
mbfitp;1D491
mbfitq;1D492
mbfitr;1D493
mbfits;1D494
mbfitt;1D495
mbfitu;1D496
mbfitv;1D497
mbfitw;1D498
mbfitx;1D499
mbfity;1D49A
mbfitz;1D49B
mscrA;1D49C
mscrC;1D49E
mscrD;1D49F
mscrG;1D4A2
mscrJ;1D4A5
mscrK;1D4A6
mscrN;1D4A9
mscrO;1D4AA
mscrP;1D4AB
mscrQ;1D4AC
mscrS;1D4AE
mscrT;1D4AF
mscrU;1D4B0
mscrV;1D4B1
mscrW;1D4B2
mscrX;1D4B3
mscrY;1D4B4
mscrZ;1D4B5
mscra;1D4B6
mscrb;1D4B7
mscrc;1D4B8
mscrd;1D4B9
mscrf;1D4BB
mscrh;1D4BD
mscri;1D4BE
mscrj;1D4BF
mscrk;1D4C0
mscrl;1D4C1
mscrm;1D4C2
mscrn;1D4C3
mscrp;1D4C5
mscrq;1D4C6
mscrr;1D4C7
mscrs;1D4C8
mscrt;1D4C9
mscru;1D4CA
mscrv;1D4CB
mscrw;1D4CC
mscrx;1D4CD
mscry;1D4CE
mscrz;1D4CF
mbfscrA;1D4D0
mbfscrB;1D4D1
mbfscrC;1D4D2
mbfscrD;1D4D3
mbfscrE;1D4D4
mbfscrF;1D4D5
mbfscrG;1D4D6
mbfscrH;1D4D7
mbfscrI;1D4D8
mbfscrJ;1D4D9
mbfscrK;1D4DA
mbfscrL;1D4DB
mbfscrM;1D4DC
mbfscrN;1D4DD
mbfscrO;1D4DE
mbfscrP;1D4DF
mbfscrQ;1D4E0
mbfscrR;1D4E1
mbfscrS;1D4E2
mbfscrT;1D4E3
mbfscrU;1D4E4
mbfscrV;1D4E5
mbfscrW;1D4E6
mbfscrX;1D4E7
mbfscrY;1D4E8
mbfscrZ;1D4E9
mbfscra;1D4EA
mbfscrb;1D4EB
mbfscrc;1D4EC
mbfscrd;1D4ED
mbfscre;1D4EE
mbfscrf;1D4EF
mbfscrg;1D4F0
mbfscrh;1D4F1
mbfscri;1D4F2
mbfscrj;1D4F3
mbfscrk;1D4F4
mbfscrl;1D4F5
mbfscrm;1D4F6
mbfscrn;1D4F7
mbfscro;1D4F8
mbfscrp;1D4F9
mbfscrq;1D4FA
mbfscrr;1D4FB
mbfscrs;1D4FC
mbfscrt;1D4FD
mbfscru;1D4FE
mbfscrv;1D4FF
mbfscrw;1D500
mbfscrx;1D501
mbfscry;1D502
mbfscrz;1D503
mfrakA;1D504
mfrakB;1D505
mfrakD;1D507
mfrakE;1D508
mfrakF;1D509
mfrakG;1D50A
mfrakJ;1D50D
mfrakK;1D50E
mfrakL;1D50F
mfrakM;1D510
mfrakN;1D511
mfrakO;1D512
mfrakP;1D513
mfrakQ;1D514
mfrakS;1D516
mfrakT;1D517
mfrakU;1D518
mfrakV;1D519
mfrakW;1D51A
mfrakX;1D51B
mfrakY;1D51C
mfraka;1D51E
mfrakb;1D51F
mfrakc;1D520
mfrakd;1D521
mfrake;1D522
mfrakf;1D523
mfrakg;1D524
mfrakh;1D525
mfraki;1D526
mfrakj;1D527
mfrakk;1D528
mfrakl;1D529
mfrakm;1D52A
mfrakn;1D52B
mfrako;1D52C
mfrakp;1D52D
mfrakq;1D52E
mfrakr;1D52F
mfraks;1D530
mfrakt;1D531
mfraku;1D532
mfrakv;1D533
mfrakw;1D534
mfrakx;1D535
mfraky;1D536
mfrakz;1D537
BbbA;1D538
BbbB;1D539
BbbD;1D53B
BbbE;1D53C
BbbF;1D53D
BbbG;1D53E
BbbI;1D540
BbbJ;1D541
BbbK;1D542
BbbL;1D543
BbbM;1D544
BbbO;1D546
BbbS;1D54A
BbbT;1D54B
BbbU;1D54C
BbbV;1D54D
BbbW;1D54E
BbbX;1D54F
BbbY;1D550
Bbba;1D552
Bbbb;1D553
Bbbc;1D554
Bbbd;1D555
Bbbe;1D556
Bbbf;1D557
Bbbg;1D558
Bbbh;1D559
Bbbi;1D55A
Bbbj;1D55B
Bbbk;1D55C
Bbbl;1D55D
Bbbm;1D55E
Bbbn;1D55F
Bbbo;1D560
Bbbp;1D561
Bbbq;1D562
Bbbr;1D563
Bbbs;1D564
Bbbt;1D565
Bbbu;1D566
Bbbv;1D567
Bbbw;1D568
Bbbx;1D569
Bbby;1D56A
Bbbz;1D56B
mbffrakA;1D56C
mbffrakB;1D56D
mbffrakC;1D56E
mbffrakD;1D56F
mbffrakE;1D570
mbffrakF;1D571
mbffrakG;1D572
mbffrakH;1D573
mbffrakI;1D574
mbffrakJ;1D575
mbffrakK;1D576
mbffrakL;1D577
mbffrakM;1D578
mbffrakN;1D579
mbffrakO;1D57A
mbffrakP;1D57B
mbffrakQ;1D57C
mbffrakR;1D57D
mbffrakS;1D57E
mbffrakT;1D57F
mbffrakU;1D580
mbffrakV;1D581
mbffrakW;1D582
mbffrakX;1D583
mbffrakY;1D584
mbffrakZ;1D585
mbffraka;1D586
mbffrakb;1D587
mbffrakc;1D588
mbffrakd;1D589
mbffrake;1D58A
mbffrakf;1D58B
mbffrakg;1D58C
mbffrakh;1D58D
mbffraki;1D58E
mbffrakj;1D58F
mbffrakk;1D590
mbffrakl;1D591
mbffrakm;1D592
mbffrakn;1D593
mbffrako;1D594
mbffrakp;1D595
mbffrakq;1D596
mbffrakr;1D597
mbffraks;1D598
mbffrakt;1D599
mbffraku;1D59A
mbffrakv;1D59B
mbffrakw;1D59C
mbffrakx;1D59D
mbffraky;1D59E
mbffrakz;1D59F
msansA;1D5A0
msansB;1D5A1
msansC;1D5A2
msansD;1D5A3
msansE;1D5A4
msansF;1D5A5
msansG;1D5A6
msansH;1D5A7
msansI;1D5A8
msansJ;1D5A9
msansK;1D5AA
msansL;1D5AB
msansM;1D5AC
msansN;1D5AD
msansO;1D5AE
msansP;1D5AF
msansQ;1D5B0
msansR;1D5B1
msansS;1D5B2
msansT;1D5B3
msansU;1D5B4
msansV;1D5B5
msansW;1D5B6
msansX;1D5B7
msansY;1D5B8
msansZ;1D5B9
msansa;1D5BA
msansb;1D5BB
msansc;1D5BC
msansd;1D5BD
msanse;1D5BE
msansf;1D5BF
msansg;1D5C0
msansh;1D5C1
msansi;1D5C2
msansj;1D5C3
msansk;1D5C4
msansl;1D5C5
msansm;1D5C6
msansn;1D5C7
msanso;1D5C8
msansp;1D5C9
msansq;1D5CA
msansr;1D5CB
msanss;1D5CC
msanst;1D5CD
msansu;1D5CE
msansv;1D5CF
msansw;1D5D0
msansx;1D5D1
msansy;1D5D2
msansz;1D5D3
mbfsansA;1D5D4
mbfsansB;1D5D5
mbfsansC;1D5D6
mbfsansD;1D5D7
mbfsansE;1D5D8
mbfsansF;1D5D9
mbfsansG;1D5DA
mbfsansH;1D5DB
mbfsansI;1D5DC
mbfsansJ;1D5DD
mbfsansK;1D5DE
mbfsansL;1D5DF
mbfsansM;1D5E0
mbfsansN;1D5E1
mbfsansO;1D5E2
mbfsansP;1D5E3
mbfsansQ;1D5E4
mbfsansR;1D5E5
mbfsansS;1D5E6
mbfsansT;1D5E7
mbfsansU;1D5E8
mbfsansV;1D5E9
mbfsansW;1D5EA
mbfsansX;1D5EB
mbfsansY;1D5EC
mbfsansZ;1D5ED
mbfsansa;1D5EE
mbfsansb;1D5EF
mbfsansc;1D5F0
mbfsansd;1D5F1
mbfsanse;1D5F2
mbfsansf;1D5F3
mbfsansg;1D5F4
mbfsansh;1D5F5
mbfsansi;1D5F6
mbfsansj;1D5F7
mbfsansk;1D5F8
mbfsansl;1D5F9
mbfsansm;1D5FA
mbfsansn;1D5FB
mbfsanso;1D5FC
mbfsansp;1D5FD
mbfsansq;1D5FE
mbfsansr;1D5FF
mbfsanss;1D600
mbfsanst;1D601
mbfsansu;1D602
mbfsansv;1D603
mbfsansw;1D604
mbfsansx;1D605
mbfsansy;1D606
mbfsansz;1D607
mitsansA;1D608
mitsansB;1D609
mitsansC;1D60A
mitsansD;1D60B
mitsansE;1D60C
mitsansF;1D60D
mitsansG;1D60E
mitsansH;1D60F
mitsansI;1D610
mitsansJ;1D611
mitsansK;1D612
mitsansL;1D613
mitsansM;1D614
mitsansN;1D615
mitsansO;1D616
mitsansP;1D617
mitsansQ;1D618
mitsansR;1D619
mitsansS;1D61A
mitsansT;1D61B
mitsansU;1D61C
mitsansV;1D61D
mitsansW;1D61E
mitsansX;1D61F
mitsansY;1D620
mitsansZ;1D621
mitsansa;1D622
mitsansb;1D623
mitsansc;1D624
mitsansd;1D625
mitsanse;1D626
mitsansf;1D627
mitsansg;1D628
mitsansh;1D629
mitsansi;1D62A
mitsansj;1D62B
mitsansk;1D62C
mitsansl;1D62D
mitsansm;1D62E
mitsansn;1D62F
mitsanso;1D630
mitsansp;1D631
mitsansq;1D632
mitsansr;1D633
mitsanss;1D634
mitsanst;1D635
mitsansu;1D636
mitsansv;1D637
mitsansw;1D638
mitsansx;1D639
mitsansy;1D63A
mitsansz;1D63B
mbfitsansA;1D63C
mbfitsansB;1D63D
mbfitsansC;1D63E
mbfitsansD;1D63F
