# This file is released under the GUST Font License.
# See the relevant MANIFEST*.txt and README*.eng files
# for the details. For the most recent version of this license see
# http://www.gust.org.pl/fonts/licenses/GUST-FONT-SOURCE-LICENSE.txt or
# http://tug.org/fonts/licenses/GUST-FONT-SOURCE-LICENSE.txt
#
# This is a `Glyph Order and Alias Database' used to generate OTF
# fonts for Latin Modern, TeX Gyre and Antykwa Poltawskiego families
# with the Adobe Font Development Kit for OpenType (the package can
# be downloaded from http://www.adobe.com/devnet/opentype/afdko/ ).
# The first column contains the OTF name of a glyph, the second
# column -- the PostScript name, the third column -- the unicode name.

###   GLYPH ORDER AND ALIAS DATABASE FOR AFDKO ver. 1.00, 9 IX 2010

###   0. No unicodes

###   2. Standard high unicodes FB00 .. FB06
ff;uniFB00
Gravecomb;uniEA33
Hookabove;uniEA34
hookabove;uniEA35
Hookabovecomb;uniEA36
horn;uniEA37
Hungarumlaut;uniEA38
Hungarumlautcomb;uniEA39
linebelow;uniEA3A
Macron;uniEA3B
Macron.alt;uniEA3C
macron.alt;uniEA3D
macronbelow;uniEA3E
Macroncomb;uniEA3F
Ring;uniEA40
Ringacute;uniEA41
ringacute;uniEA42
Ringcomb;uniEA43
Tilde;uniEA44
tildebelow;uniEA45
Tildecomb;uniEA46
A.kali;uniEB00
A.out;uniEB01
acute.ts1;uniEB02
Aogonekacute;uniEB03
aogonekacute;uniEB04
at.alt;uniEB05
B.kali;uniEB06
B.out;uniEB07
bigcircle;uniEB08
born;uniEB09
breve.ts1;uniEB0A
C.kali;uniEB0B
C.out;uniEB0C
caron.ts1;uniEB0D
circlecopyrt;uniEB0E
copyleft;uniEB0F
cwm;uniEB10
cwmascender;uniEB11
cwmcapital;uniEB12
D.kali;uniEB13
D.out;uniEB14
dblgrave.ts1;uniEB15
died;uniEB16
dieresis.ts1;uniEB17
dotaccent.superior;uniEB18
dotaccentsuperior;uniEB18
dotbelow;uniEB19
dotlessi.superior;uniEB1A
dotlessisuperior;uniEB1A
dquoteright;uniEB1B
E.kali;uniEB1C
E.out;uniEB1D
Eogonekacute;uniEB1E
eogonekacute;uniEB1F
Euro.inferior;uniEB20
euroinferior;uniEB21
Euro.superior;uniEB22
eurosuperior;uniEB22
F.kali;uniEB23
F.out;uniEB23
florin.superior;uniEB24
florinsuperior;uniEB25
f.superior;uniEB26
fsuperior;uniEB26
G.kali;uniEB27
G.out;uniEB27
Germandbls;uniEB28
gnaborretni;uniEB29
grave.ts1;uniEB2A
guarani;uniEB2B
H.kali;uniEB2C
H.out;uniEB2D
hungarumlaut.ts1;uniEB2E
hyphen.alt;uniEB2F
hyphen.prop;uniEB30
hyphendbl;uniEB31
hyphendbl.alt;uniEB32
I.kali;uniEB33
I.out;uniEB34
Iogonekacute;uniEB35
iogonekacute;uniEB36
Iotadieresistonos;uniEB37
J.kali;uniEB38
J.out;uniEB39
J_caron;uniEB7E
Jacute;uniEB3A
jacute;uniEB3B
K.kali;uniEB3C
K.out;uniEB3D
L.kali;uniEB3E
L.out;uniEB3F
leaf;uniEB40
M.kali;uniEB41
M.out;uniEB42
macron.ts1;uniEB43
N.kali;uniEB44
N.out;uniEB45
O.kali;uniEB46
O.out;uniEB47
Oogonekacute;uniEB48
oogonekacute;uniEB49
P.kali;uniEB4A
P.out;uniEB4B
paragraph.alt;uniEB4C
perthousandzero;uniEB4D
Q.kali;uniEB4E
Q.out;uniEB4F
quotedblbase.cm;uniEB50
quotedblbase.cs;uniEB51
quotedblbase.ts1;uniEB52
quotedblleft.cm;uniEB53
quotedblright.cm;uniEB54
quotedblright.cs;uniEB55
quotesinglbase.ts1;uniEB56
quotesingle.ts1;uniEB57
R.kali;uniEB58
R.out;uniEB59
registered.alt;uniEB5A
S.kali;uniEB5C
S.out;uniEB5D
sterling.inferior;uniEB5E
sterlinginferior;uniEB5F
sterling.superior;uniEB60
sterlingsuperior;uniEB60
suppress;uniEB61
T.kali;uniEB61
T.out;uniEB62
tieaccentcapital;uniEB63
tieaccentcapital.new;uniEB64
tieaccentlowercase;uniEB65
tieaccentlowercase.new;uniEB66
tildelow;uniEB67
tildewide;uniEB68
tildewider;uniEB69
tildewidest;uniEB6A
twelveudash;uniEB6B
U.kali;uniEB6C
U.out;uniEB6D
Ubrevebelowinverted;uniEB6E
ubrevebelowinverted;uniEB6F
Upsilondieresistonos;uniEB70
V.kali;uniEB71
V.out;uniEB72
varregistered;uniEB5A
W.kali;uniEB73
W.out;uniEB74
X.kali;uniEB75
X.out;uniEB76
Y.kali;uniEB77
Y.out;uniEB78
yen.inferior;uniEB7C
yeninferior;uniEB7C
yen.superior;uniEB7D
yensuperior;uniEB7D
Z.kali;uniEB79
Z.out;uniEB7A
Zapff;uniEB7B
S.alt;uniEBA0
s.alt;uniEBA5
s.sc.alt;uniEBA6
Sacute.alt;uniEBA1
sacute.alt;uniEBA8
sacute.sc.alt;uniEBA7
Scaron.alt;uniEBA2
scaron.alt;uniEBAA
scaron.sc.alt;uniEBA9
Scircumflex.alt;uniEBA3
scircumflex.alt;uniEBAC
scircumflex.sc.alt;uniEBAB
Scommaaccent.alt;uniEBA4
scommaaccent.alt;uniEBAE
scommaaccent.sc.alt;uniEBAD
V.alt;uniEBAF
v.alt;uniEBB5
W.alt;uniEBB0
w.alt;uniEBB6
w.sc.alt;uniEBB7
Wacute.alt;uniEBB1
wacute.alt;uniEBB9
wacute.sc.alt;uniEBB8
Wcircumflex.alt;uniEBB2
wcircumflex.alt;uniEBBB
wcircumflex.sc.alt;uniEBBA
Wdieresis.alt;uniEBB3
wdieresis.alt;uniEBBD
wdieresis.sc.alt;uniEBBC
Wgrave.alt;uniEBB4
wgrave.alt;uniEBBF
wgrave.sc.alt;uniEBBE
Htilde;uniEC08
htilde;uniEC09
Imacron.alt;uniEC07
imacron.alt;uniEC06
lslash_lslash;uniEC0F
Ltilde;uniEC0A
ltilde;uniEC0B
Orogate;uniEC10
orogate;uniEC11
orogate.sc;uniEC12
Tdieresis;uniEC0E
Ttilde;uniEC0C
ttilde;uniEC0D
varcopyright;uniEC00
vardotaccent;uniEC01
varI;uniEC03
varIJ;uniEC04
varIogonek;uniEC05
angbracketleft;uniED00
angbracketleftBig;uniED01
angbracketleftbig;uniED02
angbracketleftBigg;uniED03
angbracketleftbigg;uniED04
angbracketright;uniED05
angbracketrightBig;uniED06
angbracketrightbig;uniED07
angbracketrightBigg;uniED08
angbracketrightbigg;uniED09
arrowbt;uniED0A
arrowdblbt;uniED0B
arrowdblleftjmn;uniED0C
arrowdblrightjmn;uniED0D
arrowdbltp;uniED0E
arrowleftjmn;uniED0F
arrowrightjmn;uniED10
arrowtp;uniED11
arrowvertexdbl;uniED12
backslashBig;uniED13
backslashbig;uniED14
backslashBigg;uniED15
backslashbigg;uniED16
bracehtipdownleft;uniED17
bracehtipdownright;uniED18
bracehtipupleft;uniED19
bracehtipupright;uniED1A
braceleft.cap;uniED1F
braceleftBig;uniED1B
braceleftbig;uniED1C
braceleftBigg;uniED1D
braceleftbigg;uniED1E
bracerightBig;uniED20
bracerightbig;uniED21
bracerightBigg;uniED22
bracerightbigg;uniED23
bracketleftBig;uniED24
bracketleftbig;uniED25
bracketleftBigg;uniED26
bracketleftbigg;uniED27
bracketrightBig;uniED28
bracketrightbig;uniED29
bracketrightBigg;uniED2A
bracketrightbigg;uniED2B
ceilingleftBig;uniED2C
ceilingleftbig;uniED2D
ceilingleftBigg;uniED2E
ceilingleftbigg;uniED2F
ceilingrightBig;uniED30
ceilingrightbig;uniED31
ceilingrightBigg;uniED32
ceilingrightbigg;uniED33
circledotdisplay;uniED34
circledottext;uniED35
circlemultiplydisplay;uniED36
circlemultiplytext;uniED37
circleplusdisplay;uniED38
circleplustext;uniED39
comma.math;uniED3A
contintegraldisplay;uniED3B
contintegraltext;uniED3C
coproductdisplay;uniED3D
coproducttext;uniED3E
equaljmn;uniED3F
equalleftjmn;uniED40
equalrightjmn;uniED41
floorleftBig;uniED42
floorleftbig;uniED43
floorleftBigg;uniED44
floorleftbigg;uniED45
floorrightBig;uniED46
floorrightbig;uniED47
floorrightBigg;uniED48
floorrightbigg;uniED49
hatwide;uniED4A
hatwider;uniED4B
hatwidest;uniED4C
integraldisplay;uniED4D
integraltext;uniED4E
intersectiondisplay;uniED4F
intersectiontext;uniED50
logicalanddisplay;uniED51
logicalandtext;uniED52
logicalordisplay;uniED53
logicalortext;uniED54
mapsto;uniED55
minusjmn;uniED56
minusleftjmn;uniED57
minusrightjmn;uniED58
negationslash;uniED59
parenleftBig;uniED5A
parenleftbig;uniED5B
parenleftBigg;uniED5C
parenleftbigg;uniED5D
parenrightBig;uniED5E
parenrightbig;uniED5F
parenrightBigg;uniED60
parenrightbigg;uniED61
period.math;uniED62
productdisplay;uniED63
producttext;uniED64
radicalBig;uniED65
radicalbig;uniED66
radicalBigg;uniED67
radicalbigg;uniED68
radicalbt;uniED69
radicaltp;uniED6A
radicalvertex;uniED6B
slashBig;uniED6C
slashbig;uniED6D
slashBigg;uniED6E
slashbigg;uniED6F
summationdisplay;uniED70
summationtext;uniED71
uniondisplay;uniED72
unionmultidisplay;uniED73
unionmultitext;uniED74
unionsqdisplay;uniED75
unionsqtext;uniED76
uniontext;uniED77
vector;uniED78
vextenddouble;uniED79
vextendsingle;uniED7A
space_uni0326;uniEA1F
acute.cap;uniEA00
caron.cap;uniEA11
dieresis.cap;uniEA28
space_uni0308_uni0301.cap;
space_uni0308_uni0300.cap;
grave.cap;uniEA30
hungarumlaut.cap;uniEA36
macron.cap;uniEA39
breve.cyrcap;uniEA21
circumflex.cyrcap;uniEA23
space_uni030F.cap;uniEA25
breve.cyr;uniEA22
circumflex.cyr;uniEA24
space_uni030F;uniEA26
space_uni0308_uni0301;uniEA2A
space_uni0308_uni0300;uniEA2D
a.sc;uniF761
aacute.sc;uniF7E1
Aacutesmall;uniF7E1
abreve.sc;uniF66D
acircumflex.sc;uniF7E2
Acircumflexsmall;uniF7E2
Acutesmall;uniF7B4
adieresis.sc;uniF7E4
Adieresissmall;uniF7E4
ae.sc;uniF7E6
aeacute.sc;uniF670
AEsmall;uniF7E6
afii10063;uniF6C4
afii10064;uniF6C5
afii10192;uniF6C6
afii10831;uniF6C7
afii10832;uniF6C8
agrave.sc;uniF7E0
Agravesmall;uniF7E0
amacron.sc;uniF66E
ampersandsmall;uniF726
aogonek.sc;uniF66F
apple;uniF8FF
aring.sc;uniF7E5
Aringsmall;uniF7E5
arrowhorizex;uniF8E7
arrowvertex;uniF8E6
Asmall;uniF761
a.superior;uniF6E9
asuperior;uniF6E9
atilde.sc;uniF7E3
Atildesmall;uniF7E3
b.sc;uniF762
braceex;uniF8F4
braceleftbt;uniF8F3
braceleftmid;uniF8F2
bracelefttp;uniF8F1
bracerightbt;uniF8FE
bracerightmid;uniF8FD
bracerighttp;uniF8FC
bracketleftbt;uniF8F0
bracketleftex;uniF8EF
bracketlefttp;uniF8EE
bracketrightbt;uniF8FB
bracketrightex;uniF8FA
bracketrighttp;uniF8F9
Brevesmall;uniF6F4
Bsmall;uniF762
b.superior;uniF6EA
bsuperior;uniF6EA
c.sc;uniF763
cacute.sc;uniF671
Caronsmall;uniF6F5
ccaron.sc;uniF672
ccedilla.sc;uniF7E7
Ccedillasmall;uniF7E7
ccircumflex.sc;uniF673
cdotaccent.sc;uniF674
Cedillasmall;uniF7B8
cent.inferior;uniF6DF
centinferior;uniF6DF
cent.oldstyle;uniF7A2
centoldstyle;uniF7A2
cent.superior;uniF6E0
centsuperior;uniF6E0
Circumflexsmall;uniF6F6
comma.inferior;uniF6E1
commainferior;uniF6E1
comma.superior;uniF6E2
commasuperior;uniF6E2
copyrightsans;uniF8E9
copyrightserif;uniF6D9
Csmall;uniF763
d.sc;uniF764
dcaron.sc;uniF675
Dieresissmall;uniF7A8
dollar.inferior;uniF6E3
dollarinferior;uniF6E3
dollar.oldstyle;uniF724
dollaroldstyle;uniF724
dollar.superior;uniF6E4
dollarsuperior;uniF6E4
Dotaccentsmall;uniF6F7
dotlessj.dup;uniF6BE
Dsmall;uniF764
dstroke.sc;uniF676
d.superior;uniF6EB
dsuperior;uniF6EB
e.sc;uniF765
eacute.sc;uniF7E9
Eacutesmall;uniF7E9
ebreve.sc;uniF677
ecaron.sc;uniF678
ecircumflex.sc;uniF7EA
Ecircumflexsmall;uniF7EA
edieresis.sc;uniF7EB
Edieresissmall;uniF7EB
edotaccent.sc;uniF679
egrave.sc;uniF7E8
Egravesmall;uniF7E8
eight.dnom;uniF65D
eight.numr;uniF669
eight.prop;uniF640
eight.oldstyle;uniF738
eightoldstyle;uniF738
eight.taboldstyle;uniF64B
emacron.sc;uniF67A
eng.sc;uniF67B
eogonek.sc;uniF67C
Esmall;uniF765
e.superior;uniF6EC
esuperior;uniF6EC
eth.sc;uniF7F0
Ethsmall;uniF7F0
exclamdownsmall;uniF7A1
exclamsmall;uniF721
f.sc;uniF766
five.dnom;uniF65A
five.numr;uniF666
five.prop;uniF63D
five.oldstyle;uniF735
fiveoldstyle;uniF735
five.taboldstyle;uniF648
four.dnom;uniF659
four.numr;uniF665
four.prop;uniF63C
four.oldstyle;uniF734
fouroldstyle;uniF734
four.taboldstyle;uniF647
Fsmall;uniF766
g.sc;uniF767
gbreve.sc;uniF67D
gcircumflex.sc;uniF67E
gcommaaccent.sc;uniF67F
gdotaccent.sc;uniF680
Gravesmall;uniF760
Gsmall;uniF767
h.sc;uniF768
hbar.sc;uniF681
hcircumflex.sc;uniF682
Hsmall;uniF768
Hungarumlautsmall;uniF6F8
hyphen.inferior;uniF6E5
hypheninferior;uniF6E5
hyphen.superior;uniF6E6
hyphensuperior;uniF6E6
i.sc;uniF769
iacute.sc;uniF7ED
Iacutesmall;uniF7ED
ibreve.sc;uniF683
icircumflex.sc;uniF7EE
Icircumflexsmall;uniF7EE
idieresis.sc;uniF7EF
Idieresissmall;uniF7EF
idotaccent.sc;uniF6AD
igrave.sc;uniF7EC
Igravesmall;uniF7EC
ij.sc;uniF684
imacron.sc;uniF685
integralex;uniF8F5
iogonek.sc;uniF686
Ismall;uniF769
i.superior;uniF6ED
isuperior;uniF6ED
itilde.sc;uniF687
j.sc;uniF76A
jcircumflex.sc;uniF688
Jsmall;uniF76A
k.sc;uniF76B
kcommaaccent.sc;uniF689
Ksmall;uniF76B
l.sc;uniF76C
lacute.sc;uniF68A
lcaron.sc;uniF68B
lcommaaccent.sc;uniF68C
ldot.sc;uniF68D
LL;uniF6BF
ll;uniF6C0
Lslashsmall;uniF6F9
Lsmall;uniF76C
l.superior;uniF6EE
lsuperior;uniF6EE
m.sc;uniF76D
Macronsmall;uniF7AF
maichattawalowleftthai;uniF895
maichattawalowrightthai;uniF894
maichattawaupperleftthai;uniF893
maieklowleftthai;uniF88C
maieklowrightthai;uniF88B
maiekupperleftthai;uniF88A
maihanakatleftthai;uniF884
maitaikhuleftthai;uniF889
maitholowleftthai;uniF88F
maitholowrightthai;uniF88E
maithoupperleftthai;uniF88D
maitrilowleftthai;uniF892
maitrilowrightthai;uniF891
maitriupperleftthai;uniF890
Msmall;uniF76D
m.superior;uniF6EF
msuperior;uniF6EF
n.sc;uniF76E
nacute.sc;uniF68E
ncaron.sc;uniF68F
ncommaaccent.sc;uniF690
nikhahitleftthai;uniF899
nine.dnom;uniF65E
nine.numr;uniF66A
nine.prop;uniF641
nine.oldstyle;uniF739
nineoldstyle;uniF739
nine.taboldstyle;uniF64C
Nsmall;uniF76E
ntilde.sc;uniF7F1
Ntildesmall;uniF7F1
o.sc;uniF76F
oacute.sc;uniF7F3
Oacutesmall;uniF7F3
obreve.sc;uniF691
ocircumflex.sc;uniF7F4
Ocircumflexsmall;uniF7F4
odieresis.sc;uniF7F6
Odieresissmall;uniF7F6
OEsmall;uniF6FA
Ogoneksmall;uniF6FB
ograve.sc;uniF7F2
Ogravesmall;uniF7F2
ohungarumlaut.sc;uniF692
omacron.sc;uniF693
one.dnom;uniF656
one.numr;uniF662
one.prop;uniF6DC
onefitted;uniF6DC
one.oldstyle;uniF731
oneoldstyle;uniF731
one.taboldstyle;uniF644
oslash.sc;uniF7F8
oslashacute.sc;uniF694
Oslashsmall;uniF7F8
Osmall;uniF76F
o.superior;uniF6F0
osuperior;uniF6F0
otilde.sc;uniF7F5
Otildesmall;uniF7F5
p.sc;uniF770
parenleftbt;uniF8ED
parenleftex;uniF8EC
parenlefttp;uniF8EB
parenrightbt;uniF8F8
parenrightex;uniF8F7
parenrighttp;uniF8F6
period.inferior;uniF6E7
periodinferior;uniF6E7
period.superior;uniF6E8
periodsuperior;uniF6E8
Psmall;uniF770
q.sc;uniF771
Qsmall;uniF771
questiondownsmall;uniF7BF
questionsmall;uniF73F
r.sc;uniF772
racute.sc;uniF695
radicalex;uniF8E5
rcaron.sc;uniF696
rcommaaccent.sc;uniF697
registersans;uniF8E8
registerserif;uniF6DA
Ringsmall;uniF6FC
Rsmall;uniF772
r.superior;uniF6F1
rsuperior;uniF6F1
rupiah;uniF6DD
s.sc;uniF773
sacute.sc;uniF698
saraiileftthai;uniF886
saraileftthai;uniF885
saraueeleftthai;uniF888
saraueleftthai;uniF887
Scaronsmall;uniF6FD
scedilla.sc;uniF699
scircumflex.sc;uniF69A
scommaaccent.sc;uniF69B
seven.dnom;uniF65C
seven.numr;uniF668
seven.prop;uniF63F
seven.oldstyle;uniF737
sevenoldstyle;uniF737
seven.taboldstyle;uniF64A
six.dnom;uniF65B
six.numr;uniF667
six.prop;uniF63E
six.oldstyle;uniF736
sixoldstyle;uniF736
six.taboldstyle;uniF649
Ssmall;uniF773
s.superior;uniF6F2
ssuperior;uniF6F2
t.sc;uniF774
tbar.sc;uniF69C
tcaron.sc;uniF69D
tcommaaccent.sc;uniF69E
thanthakhatlowleftthai;uniF898
thanthakhatlowrightthai;uniF897
thanthakhatupperleftthai;uniF896
thorn.sc;uniF7FE
Thornsmall;uniF7FE
three.dnom;uniF658
three.numr;uniF664
three.prop;uniF63B
three.oldstyle;uniF733
threeoldstyle;uniF733
threequartersemdash;uniF6DE
three.taboldstyle;uniF646
Tildesmall;uniF6FE
trademarksans;uniF8EA
trademarkserif;uniF6DB
Tsmall;uniF774
t.superior;uniF6F3
tsuperior;uniF6F3
two.dnom;uniF657
two.numr;uniF663
two.prop;uniF63A
two.oldstyle;uniF732
twooldstyle;uniF732
two.taboldstyle;uniF645
u.sc;uniF775
uacute.sc;uniF7FA
Uacutesmall;uniF7FA
ubreve.sc;uniF69F
ucircumflex.sc;uniF7FB
Ucircumflexsmall;uniF7FB
udieresis.sc;uniF7FC
Udieresissmall;uniF7FC
ugrave.sc;uniF7F9
Ugravesmall;uniF7F9
uhungarumlaut.sc;uniF6A0
umacron.sc;uniF6A1
uogonek.sc;uniF6A2
uring.sc;uniF6A3
Usmall;uniF775
utilde.sc;uniF6A4
v.sc;uniF776
Vsmall;uniF776
w.sc;uniF777
wacute.sc;uniF6A5
wcircumflex.sc;uniF6A6
wdieresis.sc;uniF6A7
wgrave.sc;uniF6A8
Wsmall;uniF777
x.sc;uniF778
Xsmall;uniF778
y.sc;uniF779
yacute.sc;uniF7FD
Yacutesmall;uniF7FD
ycircumflex.sc;uniF6A9
ydieresis.sc;uniF7FF
Ydieresissmall;uniF7FF
ygrave.sc;uniF6AA
Ysmall;uniF779
z.sc;uniF77A
zacute.sc;uniF6AB
Zcaronsmall;uniF6FF
zdotaccent.sc;uniF6AC
zero.dnom;uniF655
zero.numr;uniF661
zero.prop;uniF639
zero.slash;uniF638
zero.oldstyle;uniF730
zerooldstyle;uniF730
zero.taboldstyle;uniF643
Zsmall;uniF77A

