# Unicode characters and corresponding LaTeX math mode commands
# *************************************************************
#
# :Copyright: © 2011 Günter Milde
# :Date:      Last revised 2011-11-08
# :Licence:   This work may be distributed and/or modified under the
#             conditions of the `LaTeX Project Public License`_,
#             either version 1.3 of this license or (at your option)
#             any later version.
#
# .. _LaTeX Project Public License: http://www.latex-project.org/lppl.txt
#
# This is a mapping of mathematical Unicode characters to corresponding
# (La)TeX commands.
#
# While the contents of this file represent the best information
# available to the author as of the date referenced above, it
# contains omissions and maybe errors. It is likely that the
# information in this file will change from time to time.
#
# The character encoding of the file is UTF-8.
#
# Each data record consists of 8 fields. Fields are delimited by “
# Spaces adjacent to the delimiter are not significant. The number and
# type of fields in this file may change in future versions.
#
# 1. code point (Unicode character number)
#
#    The code point field is unique.
#
# 2. literal character (UTF-8 encoded)
#
# 3. (La)TeX _`command`
#
#    Preferred representation of the character in TeX.
#    Alternative commands are listed in the comments_ field.
#
# 4. command used by the `unicode-math`_ package
#
#    .. _unicode-math:
#       http://mirror.ctan.org/help/Catalogue/entries/unicode-math.html
#
# 5. Unicode math character class (after MathClassEx_).
#
#    .. _MathClassEx:
#       http://www.unicode.org/Public/math/revision-11/MathClassEx-11.txt
#
#    The class can be one of:
#
#    :N: Normal- includes all digits and symbols requiring only one form
#    :A: Alphabetic
#    :B: Binary
#    :C: Closing – usually paired with opening delimiter
#    :D: Diacritic
#    :F: Fence - unpaired delimiter (often used as opening or closing)
#    :G: Glyph_Part- piece of large operator
#    :L: Large -n-ary or Large operator, often takes limits
#    :O: Opening – usually paired with closing delimiter
#    :P: Punctuation
#    :R: Relation- includes arrows
#    :S: Space
#    :U: Unary – operators that are only unary
#    :V: Vary – operators that can be unary or binary depending on context
#    :X: Special –characters not covered by other classes
#
#    C, O, and F operators are stretchy. In addition some binary
#    operators, such as 002F are stretchy as noted in the descriptive
#    comments. The classes are also useful in determining extra spacing
#    around the operators as discussed in UTR#25.
#
# 6. TeX math category (after unimath-symbols_)
#
#    .. _unimath-symbols:
#       http://mirror.ctan.org/macros/latex/contrib/unicode-math/unimath-symbols.pdf
#
# 7. requirements and conflicts
#
#    Space delimited list of LaTeX packages or features [1]_ providing
#    the LaTeX command_ or conflicting with it.
#
#    Packages/features preceded by a HYPHEN-MINUS (-) use the command
#    for a different symbol.
#
#    To save space, packages providing/modifying (almost) all commands
#    of a feature or another package are not listed here but in the
#    ``packages.txt`` file.
#
#    .. [1] A feature can be a set of commands common to several packages,
#    	    (e.g. ``mathbb`` or ``slantedGreek``) or a constraint (e.g.
#	    ``literal`` mapping plain characters to upright face).
#
# 8. descriptive _`comments`
#
#    The descriptive comments provide more information about the
#    character, or its specific appearance or use.
#
#    Some descriptions contain references to related commands,
#    marked by a character describing the relation
#
#    :=:  equals  (alias commands),
#    :#:  approx  (similar, different character with same glyph),
#    :x:  not     (false friends and name clashes),
#    :t:  text    (text mode command),
#
#    followed by requirements in parantheses, and
#    delimited by commas.
#
#    Comments in UPPERCASE are Unicode character names
#
unicode-math;# no.
downharpoonright;21C2
downharpoonleft;21C3
rightleftarrows;21C4
updownarrows;21C5
leftrightarrows;21C6
leftleftarrows;21C7
upuparrows;21C8
rightrightarrows;21C9
downdownarrows;21CA
leftrightharpoons;21CB
rightleftharpoons;21CC
nLeftarrow;21CD
nLeftrightarrow;21CE
nRightarrow;21CF
Leftarrow;21D0
Uparrow;21D1
Rightarrow;21D2
Downarrow;21D3
Leftrightarrow;21D4
Updownarrow;21D5
Nwarrow;21D6
Nearrow;21D7
Searrow;21D8
Swarrow;21D9
Lleftarrow;21DA
Rrightarrow;21DB
leftsquigarrow;21DC
rightsquigarrow;21DD
nHuparrow;21DE
nHdownarrow;21DF
leftdasharrow;21E0
updasharrow;21E1
rightdasharrow;21E2
downdasharrow;21E3
barleftarrow;21E4
rightarrowbar;21E5
leftwhitearrow;21E6
upwhitearrow;21E7
rightwhitearrow;21E8
downwhitearrow;21E9
whitearrowupfrombar;21EA
;21EB
;21EC
;21ED
;21EE
;21EF
;21F0
;21F1
;21F2
;21F3
circleonrightarrow;21F4
downuparrows;21F5
rightthreearrows;21F6
nvleftarrow;21F7
nvrightarrow;21F8
nvleftrightarrow;21F9
nVleftarrow;21FA
nVrightarrow;21FB
nVleftrightarrow;21FC
leftarrowtriangle;21FD
rightarrowtriangle;21FE
leftrightarrowtriangle;21FF
forall;2200
complement;2201
partial;2202
exists;2203
nexists;2204
varnothing;2205
increment;2206
nabla;2207
in;2208
notin;2209
smallin;220A
ni;220B
nni;220C
smallni;220D
QED;220E
prod;220F
coprod;2210
sum;2211
minus;2212
mp;2213
dotplus;2214
divslash;2215
smallsetminus;2216
ast;2217
vysmwhtcircle;2218
vysmblkcircle;2219
sqrt;221A
cuberoot;221B
fourthroot;221C
propto;221D
infty;221E
rightangle;221F
angle;2220
measuredangle;2221
sphericalangle;2222
mid;2223
nmid;2224
parallel;2225
nparallel;2226
wedge;2227
vee;2228
cap;2229
cup;222A
int;222B
iint;222C
iiint;222D
oint;222E
oiint;222F
oiiint;2230
intclockwise;2231
varointclockwise;2232
ointctrclockwise;2233
therefore;2234
because;2235
mathratio;2236
Colon;2237
dotminus;2238
dashcolon;2239
dotsminusdots;223A
kernelcontraction;223B
sim;223C
backsim;223D
invlazys;223E
sinewave;223F
wr;2240
nsim;2241
eqsim;2242
simeq;2243
nsime;2244
cong;2245
simneqq;2246
ncong;2247
approx;2248
napprox;2249
approxeq;224A
approxident;224B
backcong;224C
asymp;224D
Bumpeq;224E
bumpeq;224F
doteq;2250
Doteq;2251
fallingdotseq;2252
risingdotseq;2253
coloneq;2254
eqcolon;2255
eqcirc;2256
circeq;2257
arceq;2258
wedgeq;2259
veeeq;225A
stareq;225B
triangleq;225C
eqdef;225D
measeq;225E
questeq;225F
ne;2260
equiv;2261
nequiv;2262
Equiv;2263
leq;2264
geq;2265
leqq;2266
geqq;2267
lneqq;2268
gneqq;2269
ll;226A
gg;226B
between;226C
nasymp;226D
nless;226E
ngtr;226F
nleq;2270
ngeq;2271
lesssim;2272
gtrsim;2273
nlesssim;2274
ngtrsim;2275
lessgtr;2276
gtrless;2277
nlessgtr;2278
ngtrless;2279
prec;227A
succ;227B
preccurlyeq;227C
succcurlyeq;227D
precsim;227E
succsim;227F
nprec;2280
nsucc;2281
subset;2282
supset;2283
nsubset;2284
nsupset;2285
subseteq;2286
supseteq;2287
nsubseteq;2288
nsupseteq;2289
subsetneq;228A
supsetneq;228B
cupleftarrow;228C
cupdot;228D
uplus;228E
sqsubset;228F
sqsupset;2290
sqsubseteq;2291
sqsupseteq;2292
sqcap;2293
sqcup;2294
oplus;2295
ominus;2296
otimes;2297
oslash;2298
odot;2299
circledcirc;229A
circledast;229B
circledequal;229C
circleddash;229D
boxplus;229E
boxminus;229F
boxtimes;22A0
boxdot;22A1
vdash;22A2
dashv;22A3
top;22A4
bot;22A5
assert;22A6
models;22A7
vDash;22A8
Vdash;22A9
Vvdash;22AA
VDash;22AB
nvdash;22AC
nvDash;22AD
nVdash;22AE
nVDash;22AF
prurel;22B0
scurel;22B1
vartriangleleft;22B2
vartriangleright;22B3
trianglelefteq;22B4
trianglerighteq;22B5
origof;22B6
imageof;22B7
multimap;22B8
hermitmatrix;22B9
intercal;22BA
veebar;22BB
barwedge;22BC
barvee;22BD
measuredrightangle;22BE
varlrtriangle;22BF
bigwedge;22C0
bigvee;22C1
bigcap;22C2
bigcup;22C3
smwhtdiamond;22C4
cdot;22C5
star;22C6
divideontimes;22C7
bowtie;22C8
ltimes;22C9
rtimes;22CA
leftthreetimes;22CB
rightthreetimes;22CC
backsimeq;22CD
curlyvee;22CE
curlywedge;22CF
Subset;22D0
Supset;22D1
Cap;22D2
Cup;22D3
pitchfork;22D4
equalparallel;22D5
lessdot;22D6
gtrdot;22D7
lll;22D8
ggg;22D9
lesseqgtr;22DA
gtreqless;22DB
eqless;22DC
eqgtr;22DD
curlyeqprec;22DE
curlyeqsucc;22DF
npreccurlyeq;22E0
nsucccurlyeq;22E1
nsqsubseteq;22E2
nsqsupseteq;22E3
sqsubsetneq;22E4
sqsupsetneq;22E5
lnsim;22E6
gnsim;22E7
precnsim;22E8
succnsim;22E9
ntriangleleft;22EA
ntriangleright;22EB
ntrianglelefteq;22EC
ntrianglerighteq;22ED
vdots;22EE
unicodecdots;22EF
adots;22F0
ddots;22F1
disin;22F2
varisins;22F3
isins;22F4
isindot;22F5
varisinobar;22F6
isinobar;22F7
isinvb;22F8
isinE;22F9
nisd;22FA
varnis;22FB
nis;22FC
varniobar;22FD
niobar;22FE
bagmember;22FF
diameter;2300
house;2302
varbarwedge;2305
vardoublebarwedge;2306
lceil;2308
rceil;2309
lfloor;230A
rfloor;230B
invnot;2310
sqlozenge;2311
profline;2312
profsurf;2313
viewdata;2317
turnednot;2319
ulcorner;231C
urcorner;231D
llcorner;231E
lrcorner;231F
inttop;2320
intbottom;2321
frown;2322
smile;2323
varhexagonlrbonds;232C
conictaper;2332
topbot;2336
;2337
;2338
;2339
;233A
;233B
;233C
obar;233D
;233E
APLnotslash;233F
APLnotbackslash;2340
;2341
;2342
;2343
;2344
;2345
;2346
;2347
;2348
;2349
;234A
;234B
;234C
;234D
;234E
;234F
;2350
;2351
;2352
APLboxupcaret;2353
;2354
;2355
;2356
;2357
;2358
;2359
;235A
;235B
;235C
;235D
;235E
;235F
;2360
;2361
;2362
;2363
;2364
;2365
;2366
;2367
;2368
;2369
;236A
;236B
;236C
;236D
;236E
;236F
APLboxquestion;2370
;2371
;2372
;2373
;2374
;2375
;2376
;2377
;2378
;2379
rangledownzigzagarrow;237C
hexagon;2394
lparenuend;239B
lparenextender;239C
lparenlend;239D
rparenuend;239E
rparenextender;239F
rparenlend;23A0
lbrackuend;23A1
lbrackextender;23A2
lbracklend;23A3
rbrackuend;23A4
rbrackextender;23A5
rbracklend;23A6
lbraceuend;23A7
lbracemid;23A8
lbracelend;23A9
vbraceextender;23AA
rbraceuend;23AB
rbracemid;23AC
rbracelend;23AD
intextender;23AE
harrowextender;23AF
lmoustache;23B0
rmoustache;23B1
sumtop;23B2
sumbottom;23B3
overbracket;23B4
underbracket;23B5
bbrktbrk;23B6
sqrtbottom;23B7
lvboxline;23B8
rvboxline;23B9
varcarriagereturn;23CE
;23D0
overparen;23DC
underparen;23DD
overbrace;23DE
underbrace;23DF
obrbrak;23E0
ubrbrak;23E1
trapezium;23E2
benzenr;23E3
strns;23E4
fltns;23E5
accurrent;23E6
elinters;23E7
;24C8
bdtriplevdash;2506
blockuphalf;2580
blocklowhalf;2584
blockfull;2588
blocklefthalf;258C
blockrighthalf;2590
blockqtrshaded;2591
blockhalfshaded;2592
blockthreeqtrshaded;2593
mdlgblksquare;25A0
mdlgwhtsquare;25A1
squoval;25A2
blackinwhitesquare;25A3
squarehfill;25A4
squarevfill;25A5
squarehvfill;25A6
squarenwsefill;25A7
squareneswfill;25A8
squarecrossfill;25A9
smblksquare;25AA
smwhtsquare;25AB
hrectangleblack;25AC
hrectangle;25AD
vrectangleblack;25AE
vrectangle;25AF
parallelogramblack;25B0
parallelogram;25B1
bigblacktriangleup;25B2
bigtriangleup;25B3
blacktriangle;25B4
vartriangle;25B5
blacktriangleright;25B6
triangleright;25B7
smallblacktriangleright;25B8
smalltriangleright;25B9
blackpointerright;25BA
whitepointerright;25BB
bigblacktriangledown;25BC
bigtriangledown;25BD
blacktriangledown;25BE
triangledown;25BF
blacktriangleleft;25C0
triangleleft;25C1
smallblacktriangleleft;25C2
smalltriangleleft;25C3
blackpointerleft;25C4
whitepointerleft;25C5
mdlgblkdiamond;25C6
mdlgwhtdiamond;25C7
blackinwhitediamond;25C8
fisheye;25C9
mdlgwhtlozenge;25CA
mdlgwhtcircle;25CB
dottedcircle;25CC
circlevertfill;25CD
bullseye;25CE
mdlgblkcircle;25CF
circlelefthalfblack;25D0
circlerighthalfblack;25D1
circlebottomhalfblack;25D2
circletophalfblack;25D3
circleurquadblack;25D4
blackcircleulquadwhite;25D5
blacklefthalfcircle;25D6
blackrighthalfcircle;25D7
inversebullet;25D8
inversewhitecircle;25D9
invwhiteupperhalfcircle;25DA
invwhitelowerhalfcircle;25DB
ularc;25DC
urarc;25DD
lrarc;25DE
llarc;25DF
topsemicircle;25E0
botsemicircle;25E1
lrblacktriangle;25E2
llblacktriangle;25E3
ulblacktriangle;25E4
urblacktriangle;25E5
smwhtcircle;25E6
squareleftblack;25E7
squarerightblack;25E8
squareulblack;25E9
squarelrblack;25EA
boxbar;25EB
trianglecdot;25EC
triangleleftblack;25ED
trianglerightblack;25EE
lgwhtcircle;25EF
squareulquad;25F0
squarellquad;25F1
squarelrquad;25F2
squareurquad;25F3
circleulquad;25F4
circlellquad;25F5
circlelrquad;25F6
circleurquad;25F7
ultriangle;25F8
urtriangle;25F9
lltriangle;25FA
mdwhtsquare;25FB
mdblksquare;25FC
mdsmwhtsquare;25FD
mdsmblksquare;25FE
lrtriangle;25FF
bigstar;2605
bigwhitestar;2606
astrosun;2609
;260C
;2610
;2611
;2612
;2615
;261E
;2620
danger;2621
;2622
;2623
;262F
;2639
;263A
blacksmiley;263B
sun;263C
rightmoon;263D
leftmoon;263E
;263F
female;2640
;2641
male;2642
;2643
;2644
;2645
;2646
;2647
;2648
;2649
;264A
;264B
;264C
;264D
;264E
;264F
;2650
;2651
;2652
;2653
spadesuit;2660
heartsuit;2661
diamondsuit;2662
clubsuit;2663
varspadesuit;2664
varheartsuit;2665
vardiamondsuit;2666
varclubsuit;2667
quarternote;2669
eighthnote;266A
twonotes;266B
;266C
flat;266D
natural;266E
sharp;266F
;267B
acidfree;267E
dicei;2680
diceii;2681
diceiii;2682
diceiv;2683
dicev;2684
dicevi;2685
circledrightdot;2686
circledtwodots;2687
blackcircledrightdot;2688
blackcircledtwodots;2689
;2693
;2694
;26A0
Hermaphrodite;26A5
mdwhtcircle;26AA
mdblkcircle;26AB
mdsmwhtcircle;26AC
neuter;26B2
;270E
checkmark;2713
;2717
maltese;2720
circledstar;272A
varstar;2736
dingasterisk;273D
lbrbrak;2772
rbrbrak;2773
draftingarrow;279B
;27A2
threedangle;27C0
whiteinwhitetriangle;27C1
perp;27C2
subsetcirc;27C3
supsetcirc;27C4
lbag;27C5
rbag;27C6
veedot;27C7
bsolhsub;27C8
suphsol;27C9
longdivision;27CC
diamondcdot;27D0
wedgedot;27D1
upin;27D2
pullback;27D3
pushout;27D4
leftouterjoin;27D5
rightouterjoin;27D6
fullouterjoin;27D7
bigbot;27D8
bigtop;27D9
DashVDash;27DA
dashVdash;27DB
multimapinv;27DC
vlongdash;27DD
longdashv;27DE
cirbot;27DF
lozengeminus;27E0
concavediamond;27E1
concavediamondtickleft;27E2
concavediamondtickright;27E3
whitesquaretickleft;27E4
whitesquaretickright;27E5
lBrack;27E6
rBrack;27E7
langle;27E8
rangle;27E9
lAngle;27EA
rAngle;27EB
Lbrbrak;27EC
Rbrbrak;27ED
;27EE
;27EF
UUparrow;27F0
DDownarrow;27F1
acwgapcirclearrow;27F2
cwgapcirclearrow;27F3
rightarrowonoplus;27F4
longleftarrow;27F5
longrightarrow;27F6
longleftrightarrow;27F7
Longleftarrow;27F8
Longrightarrow;27F9
Longleftrightarrow;27FA
longmapsfrom;27FB
longmapsto;27FC
Longmapsfrom;27FD
Longmapsto;27FE
longrightsquigarrow;27FF
nvtwoheadrightarrow;2900
nVtwoheadrightarrow;2901
nvLeftarrow;2902
nvRightarrow;2903
nvLeftrightarrow;2904
twoheadmapsto;2905
Mapsfrom;2906
Mapsto;2907
downarrowbarred;2908
uparrowbarred;2909
Uuparrow;290A
Ddownarrow;290B
leftbkarrow;290C
rightbkarrow;290D
leftdbkarrow;290E
dbkarow;290F
drbkarow;2910
rightdotarrow;2911
baruparrow;2912
downarrowbar;2913
nvrightarrowtail;2914
nVrightarrowtail;2915
twoheadrightarrowtail;2916
nvtwoheadrightarrowtail;2917
nVtwoheadrightarrowtail;2918
lefttail;2919
righttail;291A
leftdbltail;291B
rightdbltail;291C
diamondleftarrow;291D
rightarrowdiamond;291E
diamondleftarrowbar;291F
barrightarrowdiamond;2920
nwsearrow;2921
neswarrow;2922
hknwarrow;2923
hknearrow;2924
hksearow;2925
hkswarow;2926
tona;2927
toea;2928
tosa;2929
towa;292A
rdiagovfdiag;292B
fdiagovrdiag;292C
seovnearrow;292D
neovsearrow;292E
fdiagovnearrow;292F
rdiagovsearrow;2930
neovnwarrow;2931
nwovnearrow;2932
rightcurvedarrow;2933
uprightcurvearrow;2934
downrightcurvedarrow;2935
leftdowncurvedarrow;2936
rightdowncurvedarrow;2937
cwrightarcarrow;2938
acwleftarcarrow;2939
acwoverarcarrow;293A
acwunderarcarrow;293B
curvearrowrightminus;293C
curvearrowleftplus;293D
cwundercurvearrow;293E
ccwundercurvearrow;293F
acwcirclearrow;2940
cwcirclearrow;2941
rightarrowshortleftarrow;2942
leftarrowshortrightarrow;2943
shortrightarrowleftarrow;2944
rightarrowplus;2945
leftarrowplus;2946
rightarrowx;2947
leftrightarrowcircle;2948
twoheaduparrowcircle;2949
leftrightharpoonupdown;294A
leftrightharpoondownup;294B
updownharpoonrightleft;294C
updownharpoonleftright;294D
leftrightharpoonupup;294E
updownharpoonrightright;294F
leftrightharpoondowndown;2950
updownharpoonleftleft;2951
barleftharpoonup;2952
rightharpoonupbar;2953
barupharpoonright;2954
downharpoonrightbar;2955
barleftharpoondown;2956
rightharpoondownbar;2957
barupharpoonleft;2958
downharpoonleftbar;2959
leftharpoonupbar;295A
barrightharpoonup;295B
upharpoonrightbar;295C
bardownharpoonright;295D
leftharpoondownbar;295E
barrightharpoondown;295F
upharpoonleftbar;2960
bardownharpoonleft;2961
leftharpoonsupdown;2962
upharpoonsleftright;2963
rightharpoonsupdown;2964
downharpoonsleftright;2965
leftrightharpoonsup;2966
leftrightharpoonsdown;2967
rightleftharpoonsup;2968
rightleftharpoonsdown;2969
leftharpoonupdash;296A
dashleftharpoondown;296B
rightharpoonupdash;296C
dashrightharpoondown;296D
updownharpoonsleftright;296E
downupharpoonsleftright;296F
rightimply;2970
equalrightarrow;2971
similarrightarrow;2972
leftarrowsimilar;2973
rightarrowsimilar;2974
rightarrowapprox;2975
ltlarr;2976
leftarrowless;2977
gtrarr;2978
subrarr;2979
leftarrowsubset;297A
suplarr;297B
leftfishtail;297C
rightfishtail;297D
upfishtail;297E
downfishtail;297F
Vvert;2980
mdsmblkcircle;2981
typecolon;2982
lBrace;2983
rBrace;2984
lParen;2985
rParen;2986
llparenthesis;2987
rrparenthesis;2988
llangle;2989
rrangle;298A
lbrackubar;298B
rbrackubar;298C
lbrackultick;298D
rbracklrtick;298E
lbracklltick;298F
rbrackurtick;2990
langledot;2991
rangledot;2992
lparenless;2993
rparengtr;2994
Lparengtr;2995
Rparenless;2996
lblkbrbrak;2997
rblkbrbrak;2998
fourvdots;2999
vzigzag;299A
measuredangleleft;299B
rightanglesqr;299C
rightanglemdot;299D
angles;299E
angdnr;299F
gtlpar;29A0
sphericalangleup;29A1
turnangle;29A2
revangle;29A3
angleubar;29A4
revangleubar;29A5
wideangledown;29A6
wideangleup;29A7
measanglerutone;29A8
measanglelutonw;29A9
measanglerdtose;29AA
measangleldtosw;29AB
measangleurtone;29AC
measangleultonw;29AD
measangledrtose;29AE
